work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2021,data analyst  in office,ml/ai,us dolars,48836,144892,jp,mi,pt,in-person,us,m
2022,machine learning engineer  in office,analysis,inr,131150,75952,us,se,pt,remote,cn,m
2020,statistician,ml/ai,gbp,41394,125996,de,en,fl,remote,jp,m
2020,data engineer  in office,engineering,us dolars,102158,155982,de,se,ft,in-person,mx,s
2021,statistician,unknown,unknown,154660,89379,uk,unknown,fl,in-person,in,unknown
2020,statistician  (remote),engineering,inr,140599,195392,de,en,fl,in-person,uk,l
2021,machine learning engineer  (remote),data science,us dolars,55280,136120,in,ex,ft,remote,us,m
2020,data analyst  (remote),ml/ai,jpy,154221,157852,uk,en,ft,in-person,in,l
2022,statistician  in office,ml/ai,us dolars,107318,128111,us,en,pt,remote,mx,m
2020,data analyst,data science,jpy,162231,66516,us,en,fl,remote,jp,m
2020,data scientist  in office,engineering,us dolars,100162,101114,uk,mi,fl,hybrid,in,m
2020,data engineer  in office,data science,us dolars,82712,159657,de,ex,fl,hybrid,uk,m
2020,data engineer,ml/ai,jpy,139578,91240,us,en,ct,remote,us,l
2021,statistician,data science,us dolars,167661,71798,in,mi,ft,remote,uk,s
2022,data analyst  (remote),ml/ai,us dolars,78241,148371,cn,en,pt,hybrid,us,m
2022,statistician  (remote),data science,us dolars,53233,96473,de,ex,ct,hybrid,in,l
2021,machine learning engineer  (remote),ml/ai,jpy,196083,155811,in,ex,ct,hybrid,uk,s
2021,data engineer  in office,data science,us dolars,38177,161496,mx,ex,pt,hybrid,us,m
2021,statistician,analysis,inr,195600,139806,de,ex,ct,hybrid,cn,s
2021,machine learning engineer  in office,ml/ai,inr,144506,164123,cn,mi,ct,hybrid,jp,m
2021,statistician  (remote),engineering,jpy,91351,131209,uk,se,ct,hybrid,us,l
2022,data analyst,unknown,unknown,121908,126878,jp,unknown,fl,remote,cn,unknown
2022,data analyst  (remote),engineering,inr,81827,107774,us,mi,ct,remote,uk,m
2021,data analyst,data science,gbp,184580,57786,uk,en,ct,hybrid,uk,l
2020,data analyst,engineering,inr,110501,125204,de,ex,ft,in-person,in,l
2021,data scientist  (remote),engineering,gbp,98772,162339,cn,ex,pt,hybrid,jp,l
2020,machine learning engineer,data science,jpy,45611,49650,us,ex,fl,in-person,us,m
2021,machine learning engineer,unknown,unknown,183354,37017,jp,unknown,fl,remote,uk,unknown
2021,data analyst  (remote),unknown,unknown,71003,170921,jp,unknown,pt,remote,us,unknown
2022,data scientist,engineering,gbp,172412,92453,cn,ex,fl,in-person,de,s
2020,data analyst  (remote),engineering,inr,126629,97762,cn,ex,fl,remote,jp,l
2020,data scientist  in office,ml/ai,gbp,116643,165460,de,en,fl,hybrid,jp,l
2022,data analyst  in office,ml/ai,jpy,104684,97958,us,se,ft,in-person,cn,m
2022,data engineer  (remote),analysis,jpy,138610,107568,mx,mi,ft,in-person,de,l
2022,data engineer,ml/ai,jpy,150332,102852,mx,se,fl,remote,jp,s
2022,statistician  in office,ml/ai,inr,113035,163915,de,ex,pt,in-person,de,m
2020,data analyst  (remote),data science,eur,48165,58015,jp,se,pt,in-person,us,l
2020,machine learning engineer  (remote),analysis,inr,139322,76546,uk,se,ft,in-person,mx,s
2021,statistician,analysis,jpy,179332,81055,uk,mi,ft,remote,de,m
2021,data engineer,ml/ai,inr,84515,132528,in,mi,ct,in-person,in,s
2022,data analyst,data science,jpy,139446,133283,jp,en,ft,in-person,cn,m
2022,statistician  (remote),data science,us dolars,60480,79577,mx,ex,fl,hybrid,de,m
2022,data analyst  in office,analysis,us dolars,89789,196241,mx,en,ft,hybrid,us,m
2021,data engineer  (remote),data science,gbp,62191,59415,jp,mi,ct,in-person,jp,l
2021,statistician,engineering,eur,89488,176757,de,en,ct,remote,in,m
2021,data scientist  (remote),engineering,jpy,117457,190770,cn,se,pt,remote,cn,l
2021,data engineer,analysis,inr,132476,92415,in,mi,fl,hybrid,cn,l
2021,data analyst,analysis,inr,173908,86400,us,se,ft,hybrid,us,l
2021,machine learning engineer  (remote),data science,gbp,104525,144731,de,ex,ct,in-person,in,m
2022,data engineer  in office,data science,inr,82648,85450,cn,mi,ct,remote,in,l
2022,machine learning engineer,analysis,us dolars,43740,116962,cn,ex,pt,remote,in,s
2022,data scientist  in office,analysis,inr,125716,181650,mx,mi,pt,remote,de,s
2022,statistician  in office,engineering,us dolars,174174,148639,uk,mi,ft,in-person,us,m
2020,machine learning engineer  in office,data science,eur,143917,46531,in,mi,pt,hybrid,us,s
2021,statistician,engineering,gbp,191327,163242,uk,mi,ft,remote,mx,s
2022,machine learning engineer  (remote),data science,us dolars,55221,168369,de,se,ft,in-person,jp,l
2021,data analyst,ml/ai,gbp,93265,34163,in,ex,pt,in-person,us,m
2022,data engineer  (remote),data science,jpy,30719,70794,jp,mi,pt,in-person,uk,s
2021,data engineer  in office,engineering,inr,184212,71787,cn,ex,pt,in-person,uk,m
2022,data engineer  (remote),analysis,gbp,162141,138248,mx,en,fl,in-person,in,s
2020,data analyst  (remote),analysis,gbp,84714,87219,in,mi,fl,remote,jp,l
2020,data scientist,engineering,gbp,103285,131243,uk,ex,fl,remote,in,s
2020,statistician  (remote),analysis,inr,42935,140224,us,se,pt,in-person,jp,s
2021,machine learning engineer  in office,data science,inr,149362,54448,uk,en,pt,in-person,mx,s
2020,data scientist,analysis,gbp,74035,86437,de,en,fl,remote,in,l
2021,machine learning engineer,engineering,eur,156687,58299,mx,ex,ct,in-person,cn,l
2020,statistician,analysis,us dolars,126256,107093,de,mi,ct,hybrid,de,s
2020,data analyst  in office,data science,inr,189009,199720,in,mi,ct,remote,jp,s
2021,data engineer  (remote),data science,eur,48540,175168,uk,se,ct,hybrid,cn,l
2021,data engineer,engineering,inr,103480,155113,us,se,fl,remote,uk,l
2020,data analyst  (remote),engineering,gbp,78702,129317,cn,mi,ft,remote,uk,l
2021,data scientist  in office,engineering,eur,108283,168463,de,en,ft,remote,jp,s
2020,data scientist  in office,unknown,unknown,197979,104891,us,unknown,ct,remote,in,unknown
2021,machine learning engineer  in office,ml/ai,us dolars,176293,70286,jp,se,pt,remote,mx,m
2022,data analyst,data science,us dolars,84781,121353,in,en,ct,remote,de,l
2022,data scientist,ml/ai,inr,37087,141027,us,mi,ct,remote,de,m
2022,data analyst  (remote),ml/ai,us dolars,52789,67595,in,ex,ft,in-person,us,s
2022,statistician  (remote),analysis,jpy,194472,158840,jp,se,pt,in-person,jp,m
2022,data engineer,ml/ai,eur,163271,92740,us,en,ft,in-person,de,m
2020,data engineer  in office,analysis,eur,117273,80929,mx,se,pt,hybrid,in,m
2022,data engineer  in office,engineering,gbp,145310,62827,us,en,fl,remote,in,l
2022,data analyst,analysis,eur,177816,56209,cn,se,ft,in-person,uk,s
2022,data analyst  (remote),analysis,inr,128231,127654,jp,mi,fl,in-person,de,l
2022,machine learning engineer  in office,engineering,jpy,43894,138947,mx,en,fl,in-person,de,m
2021,data engineer,engineering,gbp,190232,103396,mx,ex,ct,remote,in,l
2020,machine learning engineer  (remote),data science,inr,83095,174878,uk,ex,pt,remote,uk,s
2022,data engineer  (remote),data science,inr,59272,143254,us,se,ft,hybrid,de,s
2022,machine learning engineer  in office,data science,inr,84021,186478,cn,ex,ct,hybrid,mx,s
2022,machine learning engineer  in office,data science,us dolars,63645,195432,us,se,ft,remote,mx,s
2020,statistician  in office,analysis,inr,142079,110000,cn,en,fl,hybrid,in,m
2021,machine learning engineer  in office,unknown,unknown,51179,68865,mx,unknown,ft,in-person,uk,unknown
2020,data analyst  (remote),data science,eur,40691,167530,de,ex,ft,hybrid,uk,m
2021,machine learning engineer,ml/ai,us dolars,159436,39151,mx,ex,ct,in-person,in,m
2022,data engineer  (remote),data science,inr,75311,160759,uk,mi,pt,hybrid,uk,m
2022,machine learning engineer  in office,ml/ai,jpy,125381,102024,us,en,ft,in-person,cn,l
2020,data scientist,engineering,jpy,54967,185613,jp,ex,fl,hybrid,cn,s
2020,data engineer  (remote),analysis,eur,58478,154001,in,ex,fl,hybrid,uk,m
2021,data scientist,analysis,inr,70332,182875,jp,ex,ct,remote,us,s
2021,data engineer  (remote),ml/ai,us dolars,168138,73183,uk,se,fl,remote,uk,s
2020,data analyst,data science,jpy,69313,92323,de,mi,ft,in-person,mx,m
2021,data analyst  (remote),analysis,gbp,97857,153978,de,en,pt,remote,de,m
2020,data analyst  (remote),ml/ai,inr,75900,120254,de,ex,ft,in-person,uk,s
2021,data scientist  in office,unknown,unknown,156861,172242,cn,unknown,ct,remote,de,unknown
2020,statistician  (remote),engineering,gbp,71098,77284,jp,ex,fl,remote,in,s
2020,data engineer  in office,analysis,jpy,38294,170332,in,se,ft,in-person,uk,l
2020,data analyst  (remote),data science,gbp,199173,168708,mx,en,ft,hybrid,in,l
2021,data engineer,unknown,unknown,186131,132491,mx,unknown,fl,in-person,jp,unknown
2021,data scientist,analysis,us dolars,126784,66108,in,ex,pt,in-person,mx,l
2021,statistician  in office,engineering,us dolars,70626,45941,mx,se,pt,in-person,cn,s
2020,data scientist  (remote),data science,jpy,50703,189427,cn,se,pt,remote,uk,s
2021,data engineer  in office,ml/ai,gbp,133693,102836,us,mi,fl,remote,in,m
2021,statistician,analysis,inr,164277,117719,cn,mi,ft,remote,jp,s
2020,statistician  (remote),ml/ai,inr,196001,194805,in,en,ct,in-person,de,m
2022,data scientist  in office,data science,inr,194483,37444,in,mi,ft,hybrid,de,m
2020,data analyst,data science,eur,41628,121291,us,en,fl,hybrid,cn,s
2021,data engineer,engineering,eur,133655,118598,jp,mi,fl,in-person,cn,l
2020,machine learning engineer  (remote),data science,inr,36518,175682,jp,ex,ft,in-person,mx,s
2022,machine learning engineer  (remote),analysis,jpy,199563,96036,uk,mi,fl,hybrid,mx,s
2020,data scientist  (remote),ml/ai,eur,169018,34554,jp,ex,ft,remote,de,l
2021,data engineer  in office,data science,eur,30610,55545,de,en,ft,in-person,de,m
2022,data engineer  in office,data science,us dolars,64311,160745,de,mi,pt,hybrid,de,l
2021,data scientist  (remote),analysis,us dolars,156419,91971,uk,mi,fl,hybrid,us,s
2022,data engineer  (remote),ml/ai,jpy,71876,76059,in,mi,fl,hybrid,mx,s
2022,data analyst  (remote),ml/ai,eur,80333,167843,uk,ex,pt,remote,cn,l
2020,data analyst  (remote),engineering,gbp,71811,56055,uk,mi,pt,hybrid,jp,l
2021,data engineer  in office,ml/ai,jpy,100072,198274,uk,en,ct,hybrid,jp,m
2020,data scientist,analysis,jpy,145407,188772,cn,ex,fl,in-person,uk,l
2022,data scientist  in office,engineering,gbp,180928,56627,us,en,ft,in-person,cn,l
2020,data engineer,data science,us dolars,111983,199640,cn,en,ft,hybrid,us,s
2022,data analyst,analysis,jpy,75823,181832,us,en,fl,hybrid,us,m
2022,data analyst  in office,data science,jpy,128863,191057,uk,ex,ct,remote,in,m
2022,data engineer  in office,analysis,gbp,130037,109944,cn,mi,fl,hybrid,de,l
2021,data scientist,ml/ai,inr,97078,125368,cn,mi,fl,remote,de,s
2021,machine learning engineer  in office,engineering,inr,137767,70785,us,se,fl,hybrid,in,m
2021,data analyst,data science,us dolars,97951,196655,us,mi,fl,remote,cn,l
2022,data analyst,data science,inr,139287,194810,jp,se,fl,in-person,jp,m
2021,machine learning engineer,ml/ai,inr,173977,54204,mx,se,ct,hybrid,de,l
2020,data scientist  (remote),data science,eur,133691,100561,cn,se,ft,in-person,cn,l
2021,data engineer  in office,analysis,us dolars,78435,67126,in,en,fl,in-person,cn,s
2021,statistician  (remote),ml/ai,gbp,185116,88126,us,en,fl,hybrid,us,m
2022,data analyst  (remote),engineering,inr,41246,112424,de,en,fl,remote,mx,s
2022,data analyst  (remote),analysis,inr,36028,75258,de,se,ct,remote,jp,m
2022,data analyst,data science,eur,149247,64527,mx,se,ft,in-person,cn,s
2022,statistician,analysis,us dolars,81901,53898,de,en,ct,remote,de,s
2022,statistician,analysis,inr,167378,33794,in,ex,pt,in-person,de,l
2021,data engineer,analysis,eur,136555,175770,jp,mi,fl,remote,us,s
2022,statistician  (remote),ml/ai,jpy,57678,173404,mx,en,ct,in-person,uk,l
2022,data engineer,engineering,jpy,120444,39593,uk,ex,ft,hybrid,cn,s
2020,data engineer  (remote),data science,eur,42363,88132,cn,mi,ct,in-person,mx,m
2021,data engineer,engineering,inr,175138,150973,cn,ex,ct,remote,uk,s
2021,data analyst  in office,analysis,inr,93804,131633,us,mi,pt,in-person,jp,s
2021,data analyst  in office,analysis,us dolars,144433,41036,cn,se,fl,remote,mx,s
2022,statistician  in office,engineering,us dolars,78544,124097,in,se,fl,hybrid,in,l
2022,data analyst  in office,engineering,gbp,128247,83164,cn,ex,ft,in-person,in,m
2022,statistician,data science,us dolars,30189,180423,in,ex,ft,hybrid,mx,m
2020,data analyst  in office,analysis,inr,41752,88413,uk,mi,pt,in-person,in,s
2022,data scientist  in office,engineering,gbp,37482,48059,in,ex,ct,in-person,jp,s
2020,data scientist  (remote),ml/ai,us dolars,46679,57188,uk,ex,ct,hybrid,cn,l
2021,statistician  in office,unknown,unknown,153056,128591,uk,unknown,ft,hybrid,de,unknown
2022,data analyst,analysis,jpy,30799,111795,uk,mi,fl,in-person,uk,s
2020,data analyst  (remote),data science,us dolars,151691,41829,in,se,ct,in-person,uk,s
2020,data engineer,ml/ai,us dolars,171006,103673,mx,en,pt,in-person,de,m
2022,machine learning engineer  (remote),data science,eur,87558,54502,uk,ex,ft,hybrid,cn,s
2021,statistician,ml/ai,inr,89223,188276,mx,mi,ct,remote,mx,s
2021,machine learning engineer  in office,data science,eur,71556,31265,in,se,fl,hybrid,uk,m
2021,machine learning engineer  (remote),ml/ai,us dolars,170981,196823,jp,en,fl,in-person,cn,l
2020,statistician  in office,ml/ai,inr,121467,185387,uk,ex,pt,in-person,mx,s
2020,data analyst,ml/ai,gbp,140719,77457,in,se,pt,hybrid,mx,s
2020,statistician,engineering,us dolars,121404,76875,in,en,ft,in-person,mx,m
2020,machine learning engineer  (remote),analysis,eur,73558,90359,mx,ex,ft,in-person,uk,m
2021,data analyst,ml/ai,gbp,189085,136334,in,se,fl,in-person,in,l
2022,data scientist,engineering,jpy,133018,152950,us,ex,fl,in-person,in,l
2020,statistician  (remote),engineering,gbp,183947,194451,mx,en,ct,in-person,us,s
2021,data analyst  (remote),analysis,gbp,65607,131827,us,se,ct,hybrid,uk,l
2022,data scientist,analysis,eur,91684,122688,uk,en,pt,hybrid,in,l
2022,data scientist,data science,us dolars,197353,89469,cn,ex,pt,hybrid,cn,s
2021,data analyst  (remote),analysis,inr,57326,125789,jp,en,ct,remote,us,l
2022,statistician  in office,engineering,inr,154594,43176,uk,mi,ft,hybrid,in,l
2020,statistician,engineering,inr,31135,95036,de,se,pt,hybrid,cn,m
2022,machine learning engineer,ml/ai,inr,183813,37907,de,en,pt,hybrid,us,l
2021,data analyst  in office,data science,eur,41913,33372,jp,mi,ct,in-person,de,l
2020,machine learning engineer  (remote),engineering,eur,40101,188644,mx,mi,ft,remote,mx,m
2020,machine learning engineer  (remote),engineering,jpy,179703,54592,jp,mi,pt,remote,cn,m
2021,data scientist  in office,data science,eur,132820,174174,jp,ex,ft,in-person,de,s
2021,statistician  (remote),unknown,unknown,197942,138093,us,unknown,pt,remote,in,unknown
2021,machine learning engineer  in office,analysis,eur,188287,186714,us,mi,ft,hybrid,in,m
2022,data scientist  (remote),engineering,eur,92110,33139,de,mi,ft,remote,us,s
2022,data analyst  (remote),data science,us dolars,49215,107179,jp,mi,pt,in-person,uk,l
2020,machine learning engineer  (remote),analysis,jpy,175096,48643,in,se,ft,hybrid,jp,s
2021,statistician  in office,analysis,eur,106949,134425,cn,se,fl,remote,de,l
2020,machine learning engineer  in office,engineering,jpy,111855,90117,de,mi,pt,hybrid,de,l
2020,data analyst  in office,ml/ai,gbp,136279,189852,jp,en,pt,remote,cn,l
2020,machine learning engineer,analysis,us dolars,171583,136485,in,ex,fl,hybrid,cn,m
2020,statistician,data science,eur,151898,143607,jp,en,ft,in-person,in,s
2021,data scientist  in office,ml/ai,us dolars,180995,90332,mx,en,fl,in-person,mx,s
2020,statistician,ml/ai,us dolars,171630,60632,uk,mi,pt,remote,uk,m
2021,data scientist,analysis,gbp,30526,199565,in,en,fl,remote,in,m
2021,data engineer  (remote),engineering,jpy,31753,190480,mx,se,ft,hybrid,us,s
2022,statistician  (remote),ml/ai,us dolars,187320,117157,cn,se,fl,in-person,uk,m
2021,statistician  (remote),engineering,inr,44656,187011,uk,ex,pt,hybrid,us,m
2022,data analyst,analysis,gbp,53266,66843,mx,se,ft,in-person,de,l
2021,machine learning engineer,unknown,unknown,94555,68930,us,unknown,pt,hybrid,in,unknown
2021,data scientist  in office,ml/ai,gbp,92995,190942,de,mi,pt,hybrid,cn,l
2021,data scientist,data science,inr,108277,135940,jp,se,ct,hybrid,in,m
2022,data analyst,engineering,inr,132345,88103,de,en,pt,remote,jp,m
2022,data analyst  in office,engineering,us dolars,126111,70770,cn,en,pt,in-person,uk,l
2022,machine learning engineer  in office,analysis,gbp,153747,60158,uk,ex,ft,remote,de,s
2022,data engineer  in office,ml/ai,us dolars,67185,77401,in,ex,fl,in-person,jp,l
2022,machine learning engineer  (remote),ml/ai,us dolars,71745,174064,jp,se,fl,remote,in,s
2020,data analyst,analysis,eur,110123,186462,uk,ex,ft,hybrid,uk,s
2022,machine learning engineer,analysis,us dolars,117804,75858,jp,se,fl,in-person,in,s
2021,data scientist  (remote),data science,jpy,198425,177828,jp,en,ct,in-person,uk,s
2021,data engineer  (remote),engineering,eur,141055,183043,mx,ex,fl,remote,jp,m
2022,statistician  (remote),engineering,inr,149097,168143,jp,ex,ct,hybrid,us,s
2022,data scientist,ml/ai,inr,78302,114811,in,ex,ft,remote,de,s
2021,data scientist,analysis,eur,152561,159970,cn,en,ft,in-person,jp,m
2021,data engineer  in office,data science,eur,183507,36586,jp,se,fl,remote,in,s
2020,statistician  in office,ml/ai,eur,87728,49703,in,en,ft,hybrid,mx,s
2021,data analyst,data science,gbp,128598,106177,us,en,ft,in-person,mx,s
2021,statistician  in office,analysis,jpy,31238,66735,uk,mi,pt,hybrid,de,m
2022,machine learning engineer  in office,analysis,jpy,111610,128525,us,ex,ft,hybrid,jp,l
2021,data scientist  (remote),analysis,inr,174121,69648,jp,se,pt,in-person,uk,s
2020,machine learning engineer,engineering,inr,87193,173201,in,se,ft,hybrid,mx,s
2021,data analyst  (remote),analysis,inr,196656,66656,uk,mi,ct,hybrid,in,s
2022,machine learning engineer,ml/ai,us dolars,96634,190737,de,mi,ct,hybrid,mx,s
2021,machine learning engineer  (remote),data science,eur,64505,105888,uk,mi,ct,hybrid,uk,l
2022,data analyst,ml/ai,inr,81341,49654,jp,se,ct,remote,uk,s
2020,data analyst  (remote),ml/ai,eur,80374,160117,mx,se,ct,remote,uk,s
2020,data analyst  (remote),data science,gbp,76998,116613,us,se,fl,hybrid,mx,m
2021,statistician,engineering,us dolars,157203,48982,us,en,ct,remote,de,l
2021,data analyst,ml/ai,us dolars,63178,129970,de,ex,pt,remote,in,l
2021,data scientist  (remote),ml/ai,jpy,188647,111848,jp,ex,fl,in-person,uk,l
2022,data analyst  in office,ml/ai,gbp,180401,139577,uk,en,pt,hybrid,jp,s
2020,machine learning engineer  in office,unknown,unknown,137373,109874,mx,unknown,pt,in-person,uk,unknown
2020,machine learning engineer,engineering,gbp,134139,60173,cn,se,pt,hybrid,in,s
2022,machine learning engineer,engineering,us dolars,130290,156765,us,en,fl,remote,cn,m
2020,statistician  in office,ml/ai,eur,88951,67525,us,en,ft,in-person,cn,m
2021,machine learning engineer,analysis,gbp,117629,57328,in,mi,ct,in-person,de,m
2021,statistician,data science,us dolars,196243,172432,uk,en,ct,remote,uk,s
2021,statistician  in office,analysis,eur,169334,146242,jp,ex,ft,remote,jp,s
2020,data analyst,engineering,eur,181857,134419,us,en,ft,hybrid,in,s
2021,data scientist  in office,ml/ai,us dolars,98831,52625,mx,se,pt,hybrid,mx,l
2022,data analyst  in office,ml/ai,eur,111223,137576,jp,se,fl,remote,uk,m
2022,data analyst  in office,analysis,us dolars,75643,46471,uk,se,pt,remote,mx,m
2020,statistician,analysis,inr,33582,69883,uk,ex,ct,in-person,de,l
2022,statistician  (remote),data science,inr,142781,32703,us,ex,ft,in-person,us,l
2022,machine learning engineer  (remote),ml/ai,eur,191352,95524,de,mi,ct,hybrid,cn,l
2020,machine learning engineer  (remote),analysis,eur,134004,195587,jp,en,ft,in-person,jp,s
2021,data analyst,data science,us dolars,70000,45151,jp,mi,fl,remote,cn,l
2021,data engineer,engineering,eur,132592,79190,in,en,pt,remote,uk,s
2021,data engineer,analysis,jpy,31085,86195,mx,en,ct,remote,uk,s
2020,machine learning engineer,engineering,inr,176672,156559,uk,ex,fl,remote,us,m
2022,data engineer  (remote),data science,eur,127994,94108,uk,se,ct,hybrid,in,l
2021,machine learning engineer  in office,engineering,eur,147309,179607,us,en,ft,remote,mx,s
2021,statistician,ml/ai,gbp,137114,132241,us,ex,ct,remote,mx,s
2020,data analyst,ml/ai,eur,100410,135190,us,mi,fl,remote,mx,l
2020,data analyst  in office,ml/ai,inr,171985,62976,mx,mi,pt,hybrid,mx,s
2022,machine learning engineer  (remote),data science,gbp,114269,30599,de,mi,ct,hybrid,in,s
2020,data analyst  (remote),engineering,us dolars,84895,33709,us,se,ct,hybrid,us,s
2020,data engineer  (remote),engineering,us dolars,187642,79365,mx,mi,ft,hybrid,mx,l
2022,data engineer,analysis,jpy,167175,35723,us,en,ft,in-person,cn,m
2022,machine learning engineer  (remote),engineering,eur,152046,142308,in,se,pt,remote,mx,m
2021,machine learning engineer,data science,inr,176972,188466,jp,ex,ft,in-person,uk,m
2022,data engineer,ml/ai,gbp,97567,94120,de,ex,fl,remote,us,s
2022,machine learning engineer  (remote),ml/ai,eur,92713,40316,jp,ex,fl,hybrid,uk,s
2021,machine learning engineer  (remote),analysis,us dolars,88639,183694,cn,en,ft,remote,cn,m
2022,data analyst  in office,analysis,us dolars,170060,185916,uk,en,ct,in-person,cn,m
2020,data scientist  in office,data science,gbp,133603,136276,uk,se,ft,remote,uk,l
2020,data engineer  in office,engineering,jpy,108488,51162,us,en,ct,remote,mx,m
2021,data analyst  in office,analysis,gbp,122905,58833,cn,ex,pt,hybrid,uk,s
2021,data scientist  (remote),ml/ai,inr,32977,178278,jp,mi,fl,remote,de,m
2021,machine learning engineer  in office,analysis,gbp,145650,156515,in,mi,fl,remote,us,m
2020,machine learning engineer,analysis,us dolars,84641,150788,de,mi,pt,hybrid,de,l
2022,data analyst  (remote),engineering,jpy,162340,81747,mx,ex,pt,in-person,uk,m
2021,statistician  in office,unknown,unknown,84431,143850,cn,unknown,pt,remote,cn,unknown
2022,data analyst  in office,ml/ai,inr,46756,148641,cn,en,ft,hybrid,in,m
2022,data scientist  in office,engineering,us dolars,181836,148519,mx,en,ft,hybrid,us,m
2020,data analyst  (remote),ml/ai,eur,176104,149271,jp,ex,ct,remote,us,s
2021,data engineer,data science,jpy,172957,85387,de,en,ct,in-person,cn,s
2020,data analyst,data science,gbp,39796,55226,jp,en,ct,hybrid,in,l
2022,machine learning engineer  (remote),analysis,inr,134583,136287,jp,ex,ft,in-person,de,l
2020,machine learning engineer  in office,analysis,inr,193935,167572,de,se,fl,hybrid,in,s
2020,statistician  in office,analysis,us dolars,111014,31634,in,mi,ct,remote,jp,l
2021,statistician  (remote),ml/ai,jpy,193189,175131,mx,mi,ft,remote,uk,s
2022,data scientist,engineering,eur,50325,34076,de,se,pt,hybrid,mx,s
2020,statistician,analysis,eur,168093,136694,us,ex,ft,hybrid,in,s
2020,data scientist,ml/ai,eur,83096,68210,us,en,pt,remote,uk,l
2020,statistician  in office,analysis,inr,174143,158798,us,ex,ct,hybrid,cn,l
2022,data scientist  in office,data science,jpy,94649,187003,us,mi,fl,remote,us,l
2021,data analyst  (remote),data science,us dolars,70058,183816,uk,mi,ct,remote,mx,m
2021,machine learning engineer  (remote),ml/ai,eur,78263,191468,in,ex,ct,hybrid,jp,l
2021,data scientist  in office,analysis,jpy,134820,118619,uk,ex,fl,in-person,cn,l
2020,data engineer  in office,data science,jpy,137645,152315,jp,se,pt,in-person,in,l
2020,machine learning engineer  in office,ml/ai,gbp,58223,96038,jp,ex,ct,remote,in,l
2020,data scientist  in office,engineering,jpy,51661,171677,us,se,fl,in-person,jp,m
2021,statistician,data science,us dolars,66432,183488,de,en,ft,hybrid,uk,l
2022,data engineer  in office,analysis,jpy,192219,86558,jp,ex,ct,hybrid,uk,m
2021,data analyst,analysis,jpy,59114,198559,us,ex,pt,hybrid,de,m
2022,machine learning engineer,analysis,us dolars,36030,136052,mx,se,pt,in-person,jp,s
2020,data scientist,analysis,jpy,120051,123079,cn,mi,ct,remote,jp,l
2020,data scientist  (remote),analysis,gbp,155756,163942,jp,mi,fl,remote,de,s
2022,statistician,ml/ai,inr,95615,157942,cn,mi,fl,in-person,uk,l
2022,machine learning engineer,data science,us dolars,77577,165830,de,ex,ct,hybrid,mx,l
2022,data scientist  in office,analysis,us dolars,140436,141342,cn,en,pt,hybrid,jp,m
2020,data analyst  in office,data science,jpy,32966,199808,de,se,fl,hybrid,jp,s
2020,machine learning engineer,ml/ai,us dolars,159356,95138,jp,se,ct,in-person,us,s
2020,data analyst  (remote),ml/ai,eur,143838,80250,uk,ex,fl,in-person,uk,s
2020,data scientist  in office,data science,eur,33728,147857,mx,ex,ct,remote,us,s
2022,machine learning engineer,analysis,gbp,198376,145070,mx,se,ft,in-person,de,l
2022,data analyst  (remote),analysis,us dolars,162019,70558,in,se,ft,remote,jp,m
2021,statistician  in office,ml/ai,jpy,111380,83092,mx,en,ct,in-person,de,m
2021,statistician  (remote),analysis,jpy,96130,105121,cn,ex,ft,hybrid,cn,s
2020,data scientist,ml/ai,inr,51414,152140,mx,en,ft,in-person,us,s
2022,data engineer,ml/ai,jpy,180511,85604,jp,ex,ft,in-person,jp,m
2022,machine learning engineer  in office,engineering,inr,121742,67039,mx,en,pt,remote,cn,l
2021,statistician,analysis,jpy,66973,99859,jp,mi,ft,in-person,cn,l
2021,data analyst,analysis,inr,117091,122506,mx,mi,ft,hybrid,uk,s
2022,data engineer  in office,analysis,eur,167161,130342,de,mi,fl,in-person,de,l
2022,data scientist,data science,eur,92235,35461,us,ex,ct,remote,cn,l
2022,data engineer  (remote),analysis,jpy,59400,70831,us,en,ft,remote,in,m
2021,data scientist  in office,data science,gbp,176477,81137,us,mi,ct,remote,uk,s
2022,data engineer  (remote),data science,us dolars,147240,64030,de,se,ct,remote,cn,l
2022,data scientist  in office,ml/ai,gbp,82763,166803,us,mi,fl,in-person,uk,s
2020,data engineer  (remote),data science,us dolars,178496,63117,uk,ex,ct,in-person,jp,l
2021,data engineer  in office,engineering,eur,136810,124138,uk,en,ft,in-person,de,m
2022,data scientist  (remote),analysis,eur,119523,192246,mx,ex,fl,in-person,de,l
2022,statistician  in office,data science,us dolars,139955,63208,uk,en,ct,remote,jp,m
2020,data engineer  in office,analysis,inr,181628,114728,us,en,ft,remote,uk,l
2021,machine learning engineer  (remote),data science,gbp,123137,114482,uk,se,fl,in-person,uk,s
2020,data analyst  (remote),ml/ai,jpy,180402,55960,cn,mi,ft,in-person,in,m
2020,data scientist  (remote),engineering,eur,164308,171319,us,mi,fl,in-person,cn,m
2020,data scientist  (remote),data science,jpy,60312,126342,cn,en,fl,hybrid,uk,s
2020,data analyst  in office,analysis,us dolars,143687,137918,jp,mi,pt,hybrid,cn,l
2022,statistician  (remote),ml/ai,jpy,182263,144761,cn,se,pt,remote,us,m
2022,data analyst  (remote),analysis,jpy,139602,56038,jp,en,pt,hybrid,cn,l
